Q,A,QE,AE
Excuse me.,Do you have your forms?,neu,fru
Do you have your forms?,Yeah.,fru,neu
Yeah.,Let me see them.,neu,fru
Let me see them.,Is there a problem?,fru,neu
Is there a problem?,Who told you to get in this line?,neu,fru
You were standing at the beginning and you directed me.,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,xxx,fru
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,Well what's the problem?  Let me change it.,fru,neu
Well what's the problem?  Let me change it.,This form is a Z.X.four.,neu,fru
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru,fru
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,No. I need another set of ID to prove this is actually you.,fru,fru
No. I need another set of ID to prove this is actually you.,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru,fru
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru,fru
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,I'm here to get an ID.,fru,fru
I'm here to get an ID.,"No.  I need another ID, a separate one.",fru,fru
"No.  I need another ID, a separate one.",Like what?  Like a birth certificate?,fru,fru
Like what?  Like a birth certificate?,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru,fru
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?","Yeah.  We keep it on file, but we need an ID to access that file.",fru,fru
"Yeah.  We keep it on file, but we need an ID to access that file.",That's out of control.,fru,ang
That's out of control.,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,ang
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,How long have you been working here?,ang,fru
Actually too long.,"Clearly.  You know, do you have like a supervisor or something?",xxx,neu
"Clearly.  You know, do you have like a supervisor or something?",Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,neu,ang
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,That would - I would appreciate that.  Yeah.,ang,fru
It's not fair.,Yeah.  I know.,xxx,sad
Yeah.  I know.,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,sad
"I don't understand.  You've already done so much, I don't know why do you have to go back.",I don't know.  I put in that. request too. They didn't...,sad,sad
"I don't know, it's just not fair.  I think you've already made your sacrifice.","There's people that have given more though, you know?",xxx,sad
"There's people that have given more though, you know?",I just don't see how they can make you leave when you have a new baby - we have a new kid.,sad,fru
I just don't see how they can make you leave when you have a new baby - we have a new kid.,I know.,fru,sad
Then why is that fair?  Why--,"There's babies over there, though, that need mothers.",xxx,neu
"There's babies over there, though, that need mothers.",I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,neu,sad
I'm just trying to think of another way.  I'm just trying to...,"Just, you know, kicking myself.",xxx,sad
"We're doing the right thing, though.",I know.,xxx,fru
I just don't see why it has to be you.,"If not me then, who?",sad,sad
"If not me then, who?",What am I going to do? Huh?,sad,sad
What am I going to do? Huh?,"You'll videotape everything, yeah?",sad,sad
"You'll videotape everything, yeah?",Yeah.,sad,sad
Yeah.,"Maybe you can send it to me, like stream it, yeah?",sad,sad
"Maybe you can send it to me, like stream it, yeah?",Don't you guys have access to computers over there.,sad,neu
Don't you guys have access to computers over there.,Last month--  Yeah.,neu,sad
Last month--  Yeah.,I just don't know how I'm going to do it without you.,sad,sad
I just don't know how I'm going to do it without you.,I have to find sitters.,sad,neu
I have to find sitters.,I can't raise a baby by myself.  How?,neu,sad
I can't raise a baby by myself.  How?,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,sad
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",I know.,sad,neu
I know.,And your mother is close by.,neu,neu
And I want lots and lots and lots of pictures.,It's just not fair.,sad,fru
So what's up?  What's new?,Well Vegas was awesome.,neu,hap
Well Vegas was awesome.,Yeah.  I heard.,hap,neu
Yeah.  I heard.,"And, um, I got married.",neu,hap
"And, um, I got married.",Shut up.  No- in Vegas?,hap,sur
Shut up.  No- in Vegas?,Yeah.  In the old town part.,sur,hap
Yeah.  In the old town part.,Who did you marry?,hap,hap
Did you propose to you?,Um- Yes.  It was very romantic.,xxx,hap
Oh.  The Wheel of Fortune slots?,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",xxx,hap
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",He turned to you and was like...,hap,neu
Hey.  Let's get married and I said okay.,[LAUGHTER] That's really romantic.,xxx,hap
[LAUGHTER] That's really romantic.,"Yeah.  Well.  You know, because he's leaving the next day.",hap,hap
"Yeah.  Well.  You know, because he's leaving the next day.",Yeah.,hap,neu
Yeah.,But we're going to have a honeymoon cruise.,neu,hap
But we're going to have a honeymoon cruise.,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",hap,neu
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",Oh.  I hadn't even thought about that.,neu,hap
"He's not going to be a citizen, though.",Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,xxx,neu
